,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,technique,first_touch,assist,state_of_play
195,0.05344201,False,41,Sanson Pereira,Goa,17.270784579746227,True,28.35,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
196,0.05516974,False,43,Chencho Gyeltshen,Kerala Blasters,15.717506163510803,True,75.26,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
197,0.015405888000000001,False,44,Ayush Adhikari,Kerala Blasters,34.57007376329995,False,86.35,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
198,0.5927844999999999,True,3,Airam López Cabrera,Goa,4.2190046219458,True,31.43,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
199,0.07696679000000001,False,5,Sahal Abdul Samad,Kerala Blasters,11.87139418939494,True,96.29,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
200,0.88956636,False,11,Jorge Rolando Pereyra Díaz,Kerala Blasters,4.011234224026316,True,94.29,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
201,0.07331542,False,12,Makan Winkle Chote,Goa,9.15478017212866,True,139.87,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
202,0.034704965000000004,False,15,Eduardo Bedia Peláez,Goa,21.38831456660389,False,73.43,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
203,0.7835000000000001,True,17,Airam López Cabrera,Goa,12.099999999999994,True,90.0,Left Foot,Ground,False,Unassisted,Set Piece - Penalty
204,0.06138856,False,26,Chencho Gyeltshen,Kerala Blasters,22.76532450899833,False,115.78,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
205,0.2221011,False,29,Airam López Cabrera,Goa,6.296824596572467,True,32.68,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
206,0.015569849,True,33,Aibanbha Kupar Dohling,Goa,22.382582514088938,False,33.34,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
207,0.33970562,True,36,Airam López Cabrera,Goa,9.394147114027971,True,101.67,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
208,0.02120051,False,38,Devendra Dhaku Murgaokar,Goa,15.227934856703321,True,21.17,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
209,0.005959874,False,39,Eduardo Bedia Peláez,Goa,40.459856648287825,False,93.12,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
